profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	textur	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	zerdürckbar	gefuege1_anteil	gefuege2	T	U	fS	S	ton	schluff	sand	SohnefS
27	Ap2	62	6.21	NA	0	231	lS - lehmiger Sand	NA	1.34	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	schwach	leicht	100		10	28	10	62	10	31	59	52
27	B	130	6.5	NA	0	231	lS - lehmiger Sand	NA	0.21	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	-	Mittel-grob	schwach	leicht	100		7	22	14	71	7	27	66	57
27	C/B	160	6.69	NA	0	231	lS - lehmiger Sand	NA	0.03	NA	299	mittlerer Grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		5	30	12	65	5	34	61	53
28	Ap1	10	6.25	NA	0	313	sL - sandiger Lehm	NA	5.87	NA	199	geringer Grobanteil	20	locker	470	Krümel	ja	Fein-mittel	schwach	sehr leicht	100		15	35	16	50	15	40	45	34
28	Ap2	25	6.37	NA	0	231	lS - lehmiger Sand	NA	2.27	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	grob	mittel	leicht	100		14	32	14	54	14	37	49	40
28	Ap3	73	6.83	NA	0	231	lS - lehmiger Sand	NA	1.16	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	grob	mittel	leicht	100		13	32	16	55	13	37	50	39
28	Bt1	105	6.98	NA	0	231	lS - lehmiger Sand	NA	0.36	NA	199	geringer Grobanteil	30	mittel	440	Polyeder	-	grob	mittel	leicht	100		13	42	18	45	13	48	39	27
28	BC	125	7.01	NA	0	231	lS - lehmiger Sand	NA	0.24	NA	399	starker grobanteil	20	locker	399	Kohärentgefüge	-	-	-	sehr leicht	100		7	35	17	58	7	41	52	41
29	Ap1	17	5.3	NA	0	313	sL - sandiger Lehm	NA	4.35	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	-	Mittel-fein	schwach	sehr leicht	100		19	38	14	43	19	43	38	29
29	Ap2	60	6.4	NA	0	313	sL - sandiger Lehm	NA	2.77	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	Mittel-grob	mittel	sehr leicht	100		18	37	10	45	18	40	42	35
29	Ap3	90	6.9	NA	0	313	sL - sandiger Lehm	NA	0.79	NA	199	geringer Grobanteil	30	mittel	420	Prismen	-	mittel	mäßig	leicht	100		18	37	18	45	18	43	39	27
29	B	130	7.01	NA	0	313	sL - sandiger Lehm	NA	0.62	NA	199	Sehr geringer Grobanteil	30	mittel	420	Prismen	-	Mittel-grob	mäßig	leicht	100		21	44	13	35	21	48	31	22
30	Ap1	15	6.04	NA	0	231	lS - lehmiger Sand	NA	4.25	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	mittel	schwach	sehr leicht	100		11	26	13	63	11	30	59	50
30	Ap2	38	6.07	NA	0	231	lS - lehmiger Sand	NA	1.86	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-grob	schwach	sehr leicht	100		10	25	9	65	10	28	62	56
